DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-30,153.73,163.0,153.73,157.0,157.12,174.0,110.33,IBMFNIFTY
2021-07-29,160.0,164.5,158.05,162.99,161.81,174.0,110.33,IBMFNIFTY
2021-07-28,159.51,163.0,157.5,160.0,161.49,174.0,110.33,IBMFNIFTY
2021-07-27,160.0,163.99,156.21,157.0,157.1,174.0,110.33,IBMFNIFTY
2021-07-26,159.5,167.98,156.0,156.0,156.93,174.0,110.33,IBMFNIFTY
2021-07-23,156.0,160.0,156.0,158.12,159.55,174.0,110.33,IBMFNIFTY
2021-07-22,159.5,159.5,156.5,158.77,158.34,174.0,110.33,IBMFNIFTY
2021-07-20,159.27,160.0,155.51,159.37,157.64,174.0,110.33,IBMFNIFTY
2021-07-19,159.5,159.5,155.23,157.2,156.67,174.0,110.33,IBMFNIFTY
2021-07-16,159.9,159.9,156.11,158.5,158.46,174.0,110.33,IBMFNIFTY
2021-07-15,161.8,161.8,156.95,157.11,157.11,174.0,110.33,IBMFNIFTY
2021-07-14,158.6,159.26,157.0,157.6,157.09,174.0,110.33,IBMFNIFTY
2021-07-13,159.5,162.31,155.57,158.9,158.26,174.0,110.33,IBMFNIFTY
2021-07-12,158.6,159.0,157.01,158.49,157.59,174.0,110.33,IBMFNIFTY
2021-07-09,156.1,158.0,156.1,157.0,157.0,174.0,110.33,IBMFNIFTY
2021-07-08,156.0,158.5,155.53,157.97,157.66,174.0,110.33,IBMFNIFTY
2021-07-07,155.82,158.35,155.82,157.49,157.53,174.0,110.33,IBMFNIFTY
2021-07-06,161.0,161.0,155.0,155.6,155.81,174.0,110.33,IBMFNIFTY
2021-07-05,167.0,167.0,154.0,157.67,158.27,174.0,110.33,IBMFNIFTY
2021-07-02,153.8,167.98,153.8,158.5,161.35,174.0,110.33,IBMFNIFTY
2021-07-01,155.95,157.9,155.52,157.0,156.9,174.0,110.33,IBMFNIFTY
2021-06-30,158.5,158.5,155.15,157.0,156.99,174.0,110.33,IBMFNIFTY
2021-06-29,156.2,157.97,156.0,156.6,156.73,174.0,110.33,IBMFNIFTY
2021-06-28,158.0,161.98,154.63,157.4,157.07,174.0,110.33,IBMFNIFTY
2021-06-25,154.3,158.91,154.3,157.4,157.33,174.0,106.2,IBMFNIFTY
2021-06-24,158.0,158.0,154.11,155.0,154.74,174.0,106.2,IBMFNIFTY
2021-06-23,157.0,158.07,154.0,154.0,155.05,174.0,106.2,IBMFNIFTY
