DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-16,953.3,959.8,944.0,951.15,951.1,980.7,641.0,GODREJCP
2021-07-15,945.0,949.95,941.0,948.05,948.3,980.7,641.0,GODREJCP
2021-07-14,944.05,946.75,935.4,941.0,940.15,980.7,641.0,GODREJCP
2021-07-13,957.0,958.0,940.5,944.8,942.55,980.7,641.0,GODREJCP
2021-07-12,970.0,974.05,953.0,956.5,957.0,980.7,641.0,GODREJCP
2021-07-09,963.0,971.95,956.0,965.0,965.65,980.7,641.0,GODREJCP
2021-07-08,961.1,969.6,951.75,963.25,962.7,980.7,641.0,GODREJCP
2021-07-07,964.25,980.7,956.0,963.0,962.9,980.7,641.0,GODREJCP
2021-07-06,929.75,976.95,927.15,967.0,964.25,976.95,641.0,GODREJCP
2021-07-05,902.0,927.7,902.0,925.9,925.0,942.35,641.0,GODREJCP
2021-07-02,894.7,908.45,880.55,898.0,891.25,942.35,641.0,GODREJCP
2021-07-01,871.8,892.25,869.0,891.0,888.05,942.35,641.0,GODREJCP
2021-06-30,884.8,892.9,866.85,870.5,870.25,942.35,641.0,GODREJCP
2021-06-29,873.8,908.0,873.05,878.0,877.8,942.35,641.0,GODREJCP
2021-06-28,875.0,879.65,868.0,869.0,869.75,942.35,641.0,GODREJCP
2021-06-25,873.9,880.0,863.0,871.75,870.55,942.35,641.0,GODREJCP
2021-06-24,875.0,879.85,867.3,869.9,870.4,942.35,641.0,GODREJCP
2021-06-23,881.0,886.7,873.7,879.0,880.75,942.35,641.0,GODREJCP
2021-06-22,889.45,897.0,874.6,877.0,877.15,942.35,641.0,GODREJCP
2021-06-21,882.75,895.0,879.3,885.0,885.65,942.35,641.0,GODREJCP
2021-06-18,910.0,913.45,880.0,889.4,892.95,942.35,596.35,GODREJCP
2021-06-17,910.0,917.0,900.85,907.0,908.0,942.35,596.35,GODREJCP
2021-06-16,939.0,942.35,914.4,916.15,917.3,942.35,596.35,GODREJCP
2021-06-15,920.65,937.3,916.5,936.45,933.7,937.3,596.35,GODREJCP
2021-06-14,898.95,924.75,888.05,919.2,920.65,924.75,596.35,GODREJCP
2021-06-11,891.85,906.9,886.1,899.15,899.55,906.9,591.25,GODREJCP
2021-06-10,858.0,897.4,850.65,886.0,885.75,897.4,591.25,GODREJCP
2021-06-09,850.0,865.0,842.45,854.9,853.25,892.0,591.25,GODREJCP
2021-06-08,849.1,858.9,846.7,854.55,855.65,892.0,591.25,GODREJCP
2021-06-07,855.0,858.0,847.0,849.45,849.1,892.0,591.25,GODREJCP
2021-06-04,864.8,869.75,843.35,850.0,852.55,892.0,591.25,GODREJCP
2021-06-03,852.9,865.5,850.0,864.0,864.35,892.0,591.25,GODREJCP
2021-06-02,841.1,855.75,836.45,846.8,850.6,892.0,591.25,GODREJCP
2021-06-01,859.0,865.3,845.55,849.05,849.05,892.0,591.25,GODREJCP
2021-05-31,845.0,861.9,841.6,858.6,856.55,892.0,591.25,GODREJCP
2021-05-28,838.0,852.0,835.0,846.95,844.7,892.0,568.15,GODREJCP
2021-05-27,826.1,839.2,820.0,835.2,831.35,892.0,568.15,GODREJCP
2021-05-26,810.75,827.4,802.05,826.05,824.9,892.0,568.15,GODREJCP
