DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,607.85,607.85,588.0,596.0,591.9,IFBAGRO
2021-07-15,610.0,615.0,591.9,595.0,596.05,IFBAGRO
2021-07-14,629.4,629.4,610.0,611.0,614.45,IFBAGRO
2021-07-13,638.0,645.3,619.0,623.8,622.55,IFBAGRO
2021-07-12,618.8,640.0,600.0,640.0,627.15,IFBAGRO
2021-07-09,605.0,620.25,602.55,609.35,608.35,IFBAGRO
2021-07-08,616.9,616.9,596.0,605.5,605.6,IFBAGRO
2021-07-07,608.0,623.65,607.0,612.6,612.05,IFBAGRO
2021-07-06,628.6,642.0,603.0,609.0,607.6,IFBAGRO
2021-07-05,611.0,646.0,611.0,626.0,624.1,IFBAGRO
2021-07-02,604.95,613.85,587.5,595.75,596.95,IFBAGRO
2021-07-01,561.05,624.8,557.25,603.0,607.7,IFBAGRO
2021-06-30,561.85,570.9,560.85,561.3,561.55,IFBAGRO
2021-06-29,581.7,588.15,554.05,564.5,561.85,IFBAGRO
2021-06-28,583.0,583.0,573.25,575.5,576.05,IFBAGRO
2021-06-25,587.8,593.0,575.1,576.6,577.5,IFBAGRO
2021-06-24,585.0,610.0,580.0,582.0,581.9,IFBAGRO
2021-06-23,617.8,617.85,582.7,583.5,585.35,IFBAGRO
2021-06-22,617.15,636.2,605.5,610.9,609.85,IFBAGRO
2021-06-21,649.7,673.9,607.95,613.0,614.65,IFBAGRO
2021-06-18,565.7,651.9,565.7,651.9,651.9,IFBAGRO
2021-06-17,539.8,553.3,525.25,546.25,543.25,IFBAGRO
2021-06-16,540.0,550.0,530.75,533.0,535.5,IFBAGRO
2021-06-15,551.95,551.95,526.65,538.0,536.9,IFBAGRO
2021-06-14,543.55,552.65,530.0,540.0,544.65,IFBAGRO
2021-06-11,518.0,548.35,517.0,541.05,540.6,IFBAGRO
2021-06-10,510.95,529.4,495.0,519.0,516.0,IFBAGRO
2021-06-09,520.0,522.9,497.35,501.0,501.25,IFBAGRO
2021-06-08,509.7,518.0,500.1,515.0,513.7,IFBAGRO
2021-06-07,510.0,519.95,492.85,509.7,509.8,IFBAGRO
2021-06-04,504.0,519.9,498.0,502.5,504.4,IFBAGRO
2021-06-03,489.0,505.1,487.1,495.0,494.05,IFBAGRO
2021-06-02,485.0,497.0,472.55,487.9,485.45,IFBAGRO
2021-06-01,475.25,490.0,462.05,480.0,479.25,IFBAGRO
2021-05-31,475.0,478.5,468.0,475.0,472.2,IFBAGRO
2021-05-28,481.95,487.5,469.95,471.0,471.65,IFBAGRO
2021-05-27,480.0,488.55,466.75,481.0,476.9,IFBAGRO
2021-05-26,483.55,485.85,471.0,472.2,472.45,IFBAGRO
2021-05-25,507.3,508.2,475.0,477.0,477.1,IFBAGRO
2021-05-24,490.0,519.9,490.0,500.0,500.75,IFBAGRO
2021-05-21,463.95,489.3,455.0,478.0,482.55,IFBAGRO
2021-05-20,464.8,464.8,450.0,452.0,454.0,IFBAGRO
2021-05-19,464.85,466.0,449.95,455.65,454.85,IFBAGRO
2021-05-18,466.0,468.7,450.8,458.0,459.95,IFBAGRO
2021-05-17,464.0,469.9,438.3,450.05,453.95,IFBAGRO
2021-05-14,489.85,489.85,455.0,465.8,464.5,IFBAGRO
2021-05-12,438.0,489.0,436.5,481.75,481.45,IFBAGRO
2021-05-11,418.95,439.9,411.55,434.2,434.0,IFBAGRO
2021-05-10,413.5,424.8,412.0,419.0,419.5,IFBAGRO
2021-05-07,417.0,423.8,410.0,412.7,411.85,IFBAGRO
2021-05-06,416.05,423.8,415.25,415.5,416.65,IFBAGRO
2021-05-05,433.9,433.9,417.05,422.55,421.05,IFBAGRO
2021-05-04,429.95,442.0,416.0,416.0,419.05,IFBAGRO
2021-05-03,414.95,440.0,405.7,425.95,422.3,IFBAGRO
2021-04-30,411.25,445.0,405.0,416.0,418.2,IFBAGRO
2021-04-29,416.8,419.2,406.05,411.3,412.0,IFBAGRO
