DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,135.0,138.2,134.0,135.1,134.95,CHENNPETRO
2021-07-15,132.9,135.45,132.2,135.1,133.4,CHENNPETRO
2021-07-14,136.4,136.75,134.2,134.7,134.55,CHENNPETRO
2021-07-13,137.0,137.75,134.7,135.7,135.4,CHENNPETRO
2021-07-12,137.2,139.6,135.1,136.8,136.85,CHENNPETRO
2021-07-09,135.0,137.6,135.0,137.25,136.65,CHENNPETRO
2021-07-08,142.0,143.9,134.85,134.9,135.9,CHENNPETRO
2021-07-07,141.95,144.3,140.35,142.8,142.75,CHENNPETRO
2021-07-06,142.85,144.6,141.15,141.6,142.3,CHENNPETRO
2021-07-05,143.8,144.45,141.5,142.6,142.2,CHENNPETRO
2021-07-02,144.0,145.0,141.5,142.5,142.65,CHENNPETRO
2021-07-01,146.05,146.55,142.2,143.65,143.4,CHENNPETRO
2021-06-30,145.0,151.8,143.4,146.05,145.8,CHENNPETRO
2021-06-29,146.3,147.7,139.45,145.1,144.35,CHENNPETRO
2021-06-28,142.5,147.3,140.5,146.3,145.9,CHENNPETRO
2021-06-25,145.15,145.15,141.0,141.85,141.4,CHENNPETRO
2021-06-24,147.9,149.45,143.5,144.75,144.2,CHENNPETRO
2021-06-23,142.5,149.0,141.1,147.0,147.0,CHENNPETRO
2021-06-22,135.4,144.7,134.4,141.2,141.4,CHENNPETRO
2021-06-21,127.0,136.75,126.65,135.5,135.4,CHENNPETRO
2021-06-18,132.0,132.55,124.3,131.0,130.05,CHENNPETRO
2021-06-17,131.2,135.7,130.55,132.2,131.5,CHENNPETRO
2021-06-16,135.9,137.05,133.5,133.75,133.85,CHENNPETRO
2021-06-15,131.9,139.25,131.9,135.2,135.2,CHENNPETRO
2021-06-14,134.2,134.45,127.1,131.0,130.95,CHENNPETRO
2021-06-11,134.25,136.8,133.45,134.2,134.2,CHENNPETRO
2021-06-10,132.4,135.15,132.4,134.45,134.25,CHENNPETRO
2021-06-09,136.95,138.8,131.05,132.35,131.85,CHENNPETRO
2021-06-08,135.9,136.5,133.55,136.0,135.55,CHENNPETRO
2021-06-07,136.45,137.55,135.1,136.25,135.9,CHENNPETRO
2021-06-04,133.0,138.5,132.8,136.0,136.15,CHENNPETRO
2021-06-03,135.5,136.75,132.55,133.4,133.7,CHENNPETRO
2021-06-02,128.5,135.45,128.5,134.7,134.4,CHENNPETRO
2021-06-01,131.05,133.5,127.4,129.0,128.95,CHENNPETRO
2021-05-31,134.3,134.35,130.6,131.75,131.05,CHENNPETRO
2021-05-28,135.0,138.8,132.5,134.0,133.4,CHENNPETRO
2021-05-27,134.4,134.95,131.8,134.45,134.4,CHENNPETRO
2021-05-26,130.9,135.75,129.2,131.85,131.7,CHENNPETRO
2021-05-25,134.7,135.7,130.0,131.0,130.4,CHENNPETRO
2021-05-24,130.1,135.5,128.6,133.7,133.95,CHENNPETRO
2021-05-21,122.0,131.2,121.8,128.9,129.1,CHENNPETRO
2021-05-20,123.85,124.6,120.35,120.9,121.05,CHENNPETRO
2021-05-19,117.0,124.7,117.0,122.55,122.9,CHENNPETRO
2021-05-18,119.0,120.8,117.35,117.7,117.75,CHENNPETRO
2021-05-17,116.55,117.45,114.75,115.85,115.95,CHENNPETRO
2021-05-14,117.95,118.85,113.35,115.95,115.65,CHENNPETRO
2021-05-12,119.35,122.0,115.5,116.8,117.25,CHENNPETRO
2021-05-11,111.8,124.8,111.0,118.6,118.45,CHENNPETRO
2021-05-10,115.0,115.3,112.25,112.9,112.9,CHENNPETRO
2021-05-07,107.5,115.5,107.5,114.15,114.2,CHENNPETRO
2021-05-06,112.2,112.5,107.0,108.85,108.75,CHENNPETRO
2021-05-05,110.65,114.5,110.05,111.65,111.6,CHENNPETRO
2021-05-04,108.95,114.5,108.9,109.9,109.65,CHENNPETRO
2021-05-03,107.1,109.9,107.0,108.2,108.15,CHENNPETRO
2021-04-30,112.45,114.45,109.7,110.0,110.55,CHENNPETRO
2021-04-29,117.0,121.85,111.5,112.0,112.9,CHENNPETRO
2021-04-28,109.45,111.25,108.15,109.05,109.2,CHENNPETRO
2021-04-27,105.7,109.9,105.2,108.4,108.25,CHENNPETRO
2021-04-26,103.65,106.9,103.35,103.7,103.85,CHENNPETRO
