DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2020-11-27,9.25,9.25,8.7,9.25,9.15,TECHNOFAB
2020-11-26,9.15,9.15,8.75,9.05,8.85,TECHNOFAB
2020-11-25,9.15,9.15,8.65,9.0,9.0,TECHNOFAB
2020-11-24,8.55,8.95,8.25,8.9,8.9,TECHNOFAB
2020-11-23,9.05,9.1,8.45,8.55,8.55,TECHNOFAB
2020-11-20,9.1,9.1,8.7,8.9,8.85,TECHNOFAB
2020-11-19,8.55,9.05,8.4,8.85,8.85,TECHNOFAB
2020-11-18,8.8,8.8,8.2,8.75,8.75,TECHNOFAB
2020-11-17,8.5,8.85,8.2,8.55,8.5,TECHNOFAB
2020-11-14,9.05,9.05,8.35,9.0,8.5,TECHNOFAB
2020-11-13,8.8,9.1,8.45,8.8,8.65,TECHNOFAB
2020-11-12,8.9,8.95,8.55,8.85,8.85,TECHNOFAB
2020-11-11,8.85,8.9,8.5,8.9,8.55,TECHNOFAB
2020-11-10,8.75,9.2,8.4,8.85,8.5,TECHNOFAB
2020-09-09,10.55,10.9,10.35,10.4,10.4,TECHNOFAB
2020-09-08,10.5,11.5,10.5,11.1,10.85,TECHNOFAB
2020-09-07,11.5,11.9,10.85,11.35,11.05,TECHNOFAB
2020-09-04,11.9,11.9,10.9,11.45,11.4,TECHNOFAB
2020-09-03,10.45,11.45,10.45,11.45,11.45,TECHNOFAB
2020-09-02,10.95,10.95,10.95,10.95,10.95,TECHNOFAB
2020-09-01,12.55,12.6,11.5,11.5,11.5,TECHNOFAB
2020-08-31,12.1,12.1,12.1,12.1,12.1,TECHNOFAB
2020-08-28,11.55,11.55,11.55,11.55,11.55,TECHNOFAB
2020-08-27,11.0,11.0,10.5,11.0,11.0,TECHNOFAB
2020-08-26,10.5,10.5,10.5,10.5,10.5,TECHNOFAB
2020-08-25,10.0,10.0,9.7,10.0,10.0,TECHNOFAB
2020-08-24,9.5,9.55,9.4,9.55,9.55,TECHNOFAB
2020-08-21,9.5,9.5,8.75,9.15,9.1,TECHNOFAB
2020-08-20,9.35,9.4,8.7,9.3,9.1,TECHNOFAB
2020-08-19,9.55,9.55,8.85,9.2,9.0,TECHNOFAB
2020-08-18,8.55,9.35,8.55,9.35,9.15,TECHNOFAB
