DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-26,950.0,950.0,901.15,907.5,909.8,1145.0,864.3,APLLTD
2021-07-23,944.95,959.5,940.0,946.0,946.0,1145.0,864.3,APLLTD
2021-07-22,943.0,949.7,939.3,945.2,944.6,1145.0,864.3,APLLTD
2021-07-20,959.0,961.9,936.05,941.15,939.25,1145.0,864.3,APLLTD
2021-07-19,962.0,967.7,952.3,959.95,956.9,1145.0,864.3,APLLTD
2021-07-16,976.0,992.0,965.1,970.75,968.6,1145.0,864.3,APLLTD
2021-07-15,965.9,975.0,960.5,964.45,965.5,1145.0,864.3,APLLTD
2021-07-14,964.6,971.95,960.8,968.8,967.5,1145.0,864.3,APLLTD
2021-07-13,981.0,986.25,962.8,965.0,965.0,1145.0,864.3,APLLTD
2021-07-12,985.0,987.6,971.45,980.4,975.25,1145.0,864.3,APLLTD
2021-07-09,985.1,994.45,972.0,979.25,975.65,1145.0,864.3,APLLTD
2021-07-08,992.9,998.9,979.6,985.1,986.1,1145.0,864.3,APLLTD
2021-07-07,986.9,992.3,977.45,986.0,986.2,1145.0,864.3,APLLTD
2021-07-06,991.85,999.9,981.05,986.9,985.55,1145.0,864.3,APLLTD
2021-07-05,993.0,1016.7,987.95,994.0,993.05,1145.0,864.3,APLLTD
2021-07-02,988.6,998.0,981.45,988.9,985.0,1145.0,864.3,APLLTD
2021-07-01,985.0,990.7,975.0,979.6,979.65,1145.0,864.3,APLLTD
2021-06-30,990.0,995.75,982.05,983.1,984.2,1145.0,864.3,APLLTD
2021-06-29,1001.05,1004.5,979.2,987.0,986.8,1145.0,864.3,APLLTD
2021-06-28,981.0,1006.0,975.4,1001.0,1001.65,1145.0,864.3,APLLTD
2021-06-25,980.0,992.35,971.45,980.0,981.2,1145.0,864.3,APLLTD
2021-06-24,986.45,987.95,971.55,977.5,977.3,1145.0,864.3,APLLTD
2021-06-23,998.0,1005.0,977.55,983.0,980.1,1145.0,864.3,APLLTD
