DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-06-02,6.45,6.45,5.95,6.1,6.0,MAGNUM
2021-06-01,6.25,6.35,6.25,6.25,6.25,MAGNUM
2021-05-31,6.95,6.95,6.35,6.6,6.55,MAGNUM
2021-05-28,6.65,6.65,6.65,6.65,6.65,MAGNUM
2021-05-27,6.35,6.35,6.35,6.35,6.35,MAGNUM
2021-05-26,6.05,6.05,6.05,6.05,6.05,MAGNUM
2021-05-25,5.8,5.8,5.8,5.8,5.8,MAGNUM
2021-05-24,5.55,5.55,5.55,5.55,5.55,MAGNUM
2021-05-21,5.3,5.3,5.3,5.3,5.3,MAGNUM
2021-05-20,5.05,5.05,5.05,5.05,5.05,MAGNUM
2021-05-19,4.75,4.95,4.75,4.9,4.85,MAGNUM
2021-05-18,4.7,4.9,4.6,4.8,4.75,MAGNUM
2021-05-17,4.75,4.75,4.6,4.75,4.7,MAGNUM
2021-05-14,4.9,4.9,4.55,4.6,4.6,MAGNUM
2021-05-12,4.5,4.75,4.5,4.7,4.7,MAGNUM
2021-05-11,4.5,4.85,4.5,4.7,4.7,MAGNUM
2021-05-10,4.55,4.8,4.55,4.65,4.65,MAGNUM
2021-05-07,4.65,4.75,4.45,4.75,4.75,MAGNUM
2021-05-06,4.45,4.55,4.45,4.5,4.55,MAGNUM
2021-05-05,4.65,4.65,4.5,4.65,4.6,MAGNUM
2021-05-04,4.35,4.6,4.35,4.6,4.55,MAGNUM
2021-05-03,4.25,4.5,4.25,4.45,4.5,MAGNUM
2021-04-30,4.35,4.4,4.25,4.4,4.35,MAGNUM
2021-04-29,4.4,4.45,4.25,4.35,4.3,MAGNUM
2021-04-28,4.45,4.45,4.15,4.4,4.4,MAGNUM
2021-04-27,4.1,4.4,4.1,4.25,4.25,MAGNUM
2021-03-10,5.55,5.65,5.25,5.65,5.6,MAGNUM
2021-03-09,5.45,5.45,5.05,5.1,5.15,MAGNUM
2021-03-08,5.8,5.8,5.15,5.5,5.45,MAGNUM
2021-03-05,5.85,6.05,5.5,5.65,5.7,MAGNUM
2021-03-04,5.65,6.1,5.45,5.9,5.85,MAGNUM
2021-03-03,5.8,6.15,5.4,5.65,5.65,MAGNUM
2021-03-02,6.15,6.15,5.45,5.75,5.75,MAGNUM
2021-03-01,6.05,6.1,5.8,5.85,5.95,MAGNUM
2021-02-26,6.7,6.7,5.9,6.05,6.15,MAGNUM
2021-02-25,7.45,7.45,6.35,6.4,6.45,MAGNUM
2021-02-24,6.9,6.9,6.9,6.9,6.9,MAGNUM
2021-02-23,6.1,6.3,5.8,6.3,6.3,MAGNUM
2021-02-22,4.85,5.25,4.0,5.25,5.25,MAGNUM
2021-02-19,4.4,4.5,4.25,4.4,4.4,MAGNUM
2021-02-18,4.0,4.35,4.0,4.35,4.35,MAGNUM
2021-02-17,4.25,4.4,4.1,4.25,4.25,MAGNUM
2021-02-16,4.2,4.4,4.2,4.3,4.25,MAGNUM
2021-02-15,4.4,4.4,4.25,4.4,4.4,MAGNUM
2021-02-12,4.5,4.5,4.35,4.4,4.4,MAGNUM
2021-02-11,4.3,4.55,4.25,4.45,4.4,MAGNUM
2021-02-10,4.35,4.35,4.2,4.25,4.25,MAGNUM
2021-02-09,4.3,4.45,4.2,4.3,4.2,MAGNUM
2021-02-08,4.2,4.5,4.1,4.4,4.3,MAGNUM
2021-02-05,4.2,4.55,4.15,4.4,4.35,MAGNUM
2021-02-04,4.7,4.7,4.15,4.4,4.35,MAGNUM
2021-02-03,4.3,4.6,4.3,4.6,4.6,MAGNUM
2021-02-02,4.95,4.95,4.3,4.3,4.3,MAGNUM
2021-02-01,4.9,4.9,4.5,4.75,4.75,MAGNUM
2021-01-29,4.7,4.85,4.65,4.85,4.8,MAGNUM
2021-01-28,4.7,4.7,4.4,4.5,4.45,MAGNUM
2021-01-27,4.5,4.7,4.45,4.55,4.5,MAGNUM
2021-01-25,4.6,4.7,4.5,4.5,4.5,MAGNUM
2021-01-22,4.85,4.85,4.5,4.8,4.6,MAGNUM
2021-01-21,4.75,4.9,4.7,4.9,4.75,MAGNUM
2021-01-20,4.7,4.9,4.7,4.85,4.75,MAGNUM
2021-01-19,4.9,4.9,4.7,4.7,4.7,MAGNUM
2021-01-18,4.95,4.95,4.75,4.9,4.9,MAGNUM
2021-01-15,4.8,4.9,4.8,4.8,4.8,MAGNUM
2021-01-14,4.9,5.0,4.8,4.8,4.8,MAGNUM
2021-01-13,5.0,5.0,4.6,5.0,4.85,MAGNUM
2021-01-12,4.95,5.0,4.8,5.0,5.0,MAGNUM
2021-01-11,4.9,5.0,4.85,4.9,4.95,MAGNUM
2021-01-08,5.0,5.1,4.85,5.05,4.95,MAGNUM
2021-01-07,5.0,5.0,4.85,5.0,5.0,MAGNUM
2021-01-06,4.95,5.05,4.75,5.0,5.0,MAGNUM
2021-01-05,4.95,5.05,4.75,5.05,4.95,MAGNUM
2021-01-04,5.0,5.1,4.6,5.05,4.95,MAGNUM
2021-01-01,4.9,5.0,4.65,5.0,4.85,MAGNUM
2020-12-31,4.85,5.05,4.4,5.0,4.85,MAGNUM
2020-12-30,4.85,4.9,4.85,4.85,4.85,MAGNUM
2020-12-29,4.75,4.95,4.6,4.85,4.85,MAGNUM
2020-12-28,4.85,4.85,4.5,4.7,4.65,MAGNUM
2020-12-24,4.85,5.1,4.6,4.8,4.85,MAGNUM
2020-12-23,4.75,4.9,4.6,4.85,4.85,MAGNUM
2020-12-22,4.7,4.85,4.45,4.5,4.65,MAGNUM
2020-12-21,5.1,5.1,4.7,4.7,4.7,MAGNUM
2020-12-18,5.25,5.25,4.8,4.85,4.85,MAGNUM
2020-12-17,5.1,5.15,4.8,5.1,5.05,MAGNUM
2020-12-16,5.1,5.1,4.8,4.9,4.9,MAGNUM
2020-12-15,5.1,5.25,4.9,4.95,5.05,MAGNUM
2020-12-14,4.8,5.1,4.65,5.1,5.1,MAGNUM
2020-12-11,4.9,5.15,4.55,4.95,4.8,MAGNUM
2020-12-10,4.75,5.0,4.75,4.95,4.9,MAGNUM
2020-12-09,4.7,4.85,4.45,4.7,4.7,MAGNUM
2020-12-08,4.95,4.95,4.5,4.8,4.7,MAGNUM
2020-12-07,5.3,5.3,4.4,4.55,4.5,MAGNUM
2020-12-04,5.0,5.0,4.7,4.95,4.85,MAGNUM
2020-12-03,4.7,4.9,4.7,4.9,4.9,MAGNUM
2020-12-02,5.05,5.05,4.65,5.05,4.85,MAGNUM
2020-12-01,4.9,4.9,4.6,4.85,4.85,MAGNUM
2020-11-27,4.9,4.9,4.65,4.7,4.7,MAGNUM
2020-11-26,4.8,4.9,4.65,4.9,4.85,MAGNUM
2020-11-25,4.9,4.9,4.6,4.85,4.85,MAGNUM
2020-11-24,4.65,5.0,4.65,4.7,4.7,MAGNUM
2020-11-23,4.7,4.85,4.55,4.8,4.8,MAGNUM
2020-11-20,4.45,4.85,4.45,4.65,4.65,MAGNUM
2020-11-19,4.5,4.75,4.5,4.65,4.65,MAGNUM
2020-11-18,4.8,5.0,4.6,4.65,4.7,MAGNUM
2020-11-17,4.5,4.8,4.5,4.8,4.8,MAGNUM
2020-11-14,5.0,5.0,4.6,5.0,4.6,MAGNUM
2020-11-13,4.5,4.8,4.5,4.6,4.8,MAGNUM
2020-11-12,4.45,4.75,4.45,4.7,4.6,MAGNUM
2020-11-11,4.45,4.65,4.25,4.65,4.65,MAGNUM
2020-11-10,4.25,4.45,4.15,4.45,4.45,MAGNUM
2020-11-09,4.25,4.25,3.95,4.25,4.25,MAGNUM
2020-11-06,4.0,4.05,4.0,4.05,4.05,MAGNUM
2020-11-05,4.0,4.3,3.9,4.25,3.9,MAGNUM
2020-11-04,4.1,4.3,4.1,4.1,4.1,MAGNUM
2020-11-03,4.3,4.55,4.3,4.4,4.3,MAGNUM
2020-11-02,4.3,4.65,4.3,4.55,4.5,MAGNUM
2020-10-30,4.4,4.5,4.35,4.45,4.45,MAGNUM
2020-10-29,4.55,4.65,4.55,4.55,4.55,MAGNUM
2020-10-28,4.5,4.8,4.5,4.75,4.75,MAGNUM
2020-10-27,4.65,4.85,4.45,4.45,4.6,MAGNUM
2020-10-26,4.65,4.9,4.65,4.65,4.65,MAGNUM
2020-10-23,5.15,5.15,4.8,4.85,4.85,MAGNUM
2020-10-22,5.2,5.35,4.9,5.25,5.05,MAGNUM
2020-10-21,5.15,5.4,5.15,5.15,5.15,MAGNUM
2020-10-20,4.95,5.45,4.95,5.4,5.4,MAGNUM
2020-10-19,5.0,5.25,5.0,5.25,5.2,MAGNUM
2020-10-16,5.25,5.5,5.25,5.25,5.25,MAGNUM
2020-10-15,5.5,5.5,5.5,5.5,5.5,MAGNUM
2020-10-14,5.75,5.75,5.75,5.75,5.75,MAGNUM
2020-10-13,6.05,6.05,6.05,6.05,6.05,MAGNUM
2020-10-12,6.95,6.95,6.35,6.35,6.35,MAGNUM
2020-10-09,6.6,6.65,6.05,6.65,6.65,MAGNUM
2020-10-08,6.15,6.35,5.75,6.35,6.35,MAGNUM
2020-10-07,6.05,6.05,5.6,6.05,6.05,MAGNUM
2020-10-06,5.8,5.8,5.55,5.8,5.8,MAGNUM
2020-10-05,5.55,5.55,5.3,5.55,5.55,MAGNUM
2020-10-01,5.3,5.3,5.1,5.3,5.3,MAGNUM
2020-09-30,5.05,5.05,5.05,5.05,5.05,MAGNUM
2020-09-29,4.85,4.85,4.6,4.85,4.85,MAGNUM
2020-09-28,4.25,4.65,4.25,4.65,4.65,MAGNUM
2020-09-25,4.5,4.5,4.1,4.45,4.45,MAGNUM
2020-09-24,4.1,4.35,3.95,4.35,4.3,MAGNUM
2020-09-23,4.15,4.25,4.15,4.15,4.15,MAGNUM
2020-09-22,4.6,4.6,4.2,4.2,4.2,MAGNUM
2020-09-21,4.4,4.7,4.4,4.4,4.4,MAGNUM
2020-09-18,4.2,4.6,4.2,4.6,4.6,MAGNUM
2020-09-17,4.15,4.55,4.15,4.4,4.4,MAGNUM
2020-09-16,4.35,4.35,4.1,4.1,4.35,MAGNUM
2020-09-15,4.2,4.4,4.0,4.4,4.15,MAGNUM
2020-09-14,4.4,4.4,4.2,4.2,4.2,MAGNUM
2020-09-11,4.6,4.6,4.4,4.45,4.4,MAGNUM
2020-09-10,4.6,4.6,4.25,4.6,4.6,MAGNUM
2020-09-09,4.6,4.6,4.4,4.4,4.4,MAGNUM
2020-09-08,5.0,5.0,4.6,4.6,4.6,MAGNUM
2020-09-07,4.9,4.9,4.5,4.9,4.8,MAGNUM
2020-09-04,5.05,5.05,4.7,4.95,4.7,MAGNUM
2020-09-03,5.3,5.3,4.8,5.05,4.85,MAGNUM
2020-09-02,5.1,5.1,4.75,5.1,5.05,MAGNUM
2020-09-01,5.3,5.3,4.85,4.85,4.9,MAGNUM
2020-08-31,5.35,5.35,4.9,5.1,5.1,MAGNUM
2020-08-28,5.6,5.65,5.15,5.15,5.15,MAGNUM
2020-08-27,5.6,5.75,5.4,5.4,5.4,MAGNUM
2020-08-26,5.55,6.0,5.55,5.6,5.65,MAGNUM
2020-08-25,5.75,6.1,5.75,5.75,5.75,MAGNUM
2020-08-24,6.65,6.65,6.05,6.5,6.05,MAGNUM
2020-08-21,6.25,6.35,5.75,6.35,6.35,MAGNUM
2020-08-20,5.85,6.1,5.8,6.1,6.05,MAGNUM
2020-08-19,5.85,6.1,5.8,5.95,5.85,MAGNUM
2020-08-18,5.6,6.1,5.6,5.85,6.1,MAGNUM
