DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,220.0,228.0,216.15,223.0,225.45,CAMLINFINE
2021-07-15,219.9,224.75,215.05,222.15,221.95,CAMLINFINE
2021-07-14,218.0,224.75,212.55,218.45,218.8,CAMLINFINE
2021-07-13,207.4,220.0,204.75,217.4,218.0,CAMLINFINE
2021-07-12,209.8,211.7,204.0,205.9,206.2,CAMLINFINE
2021-07-09,208.55,209.9,203.2,206.0,207.5,CAMLINFINE
2021-07-08,203.35,216.0,201.95,210.3,209.3,CAMLINFINE
2021-07-07,195.0,210.35,190.95,202.65,202.45,CAMLINFINE
2021-07-06,197.0,202.5,192.15,193.3,193.3,CAMLINFINE
2021-07-05,195.9,202.2,191.95,196.9,196.9,CAMLINFINE
2021-07-02,198.0,203.4,192.1,192.85,194.55,CAMLINFINE
2021-07-01,187.55,199.4,181.0,198.0,196.4,CAMLINFINE
2021-06-30,177.4,196.9,177.15,187.55,186.55,CAMLINFINE
2021-06-29,172.5,178.75,172.5,175.3,174.4,CAMLINFINE
2021-06-28,171.7,177.0,171.7,176.25,174.35,CAMLINFINE
2021-06-25,167.1,172.4,167.1,172.25,171.35,CAMLINFINE
2021-06-24,169.0,169.8,165.4,167.1,167.0,CAMLINFINE
2021-06-23,171.05,174.5,168.3,169.55,168.85,CAMLINFINE
2021-06-22,171.2,175.5,169.7,170.8,170.3,CAMLINFINE
2021-06-21,165.6,172.5,163.15,172.0,171.1,CAMLINFINE
2021-06-18,174.5,175.55,164.95,170.85,170.55,CAMLINFINE
2021-06-17,173.45,179.75,171.9,173.5,173.0,CAMLINFINE
2021-06-16,175.0,177.55,173.4,174.0,173.9,CAMLINFINE
2021-06-15,173.8,178.7,172.2,174.55,174.0,CAMLINFINE
2021-06-14,175.35,176.0,169.5,173.0,172.55,CAMLINFINE
2021-06-11,180.7,183.35,173.0,176.0,175.35,CAMLINFINE
2021-06-10,179.0,182.0,178.35,180.0,179.55,CAMLINFINE
2021-06-09,174.3,183.5,173.1,179.2,177.6,CAMLINFINE
2021-06-08,172.5,175.7,168.55,173.7,173.35,CAMLINFINE
2021-06-07,178.0,180.5,171.35,172.95,172.45,CAMLINFINE
2021-06-04,181.3,181.65,175.05,177.25,177.55,CAMLINFINE
2021-06-03,180.2,182.65,178.65,181.35,180.3,CAMLINFINE
2021-06-02,181.5,181.6,178.1,179.0,178.6,CAMLINFINE
2021-06-01,174.0,182.75,173.9,180.75,180.5,CAMLINFINE
2021-05-31,180.0,184.0,168.4,176.0,176.5,CAMLINFINE
2021-05-28,186.6,186.95,178.0,179.45,179.85,CAMLINFINE
2021-05-27,191.35,191.35,182.0,185.95,185.7,CAMLINFINE
2021-05-26,186.45,195.4,184.0,190.9,189.95,CAMLINFINE
2021-05-25,173.9,187.45,171.0,186.55,185.05,CAMLINFINE
2021-05-24,165.05,174.5,164.0,172.95,172.4,CAMLINFINE
2021-05-21,166.4,168.6,161.4,164.0,162.9,CAMLINFINE
2021-05-20,165.1,172.55,163.8,164.0,164.35,CAMLINFINE
2021-05-19,172.35,173.9,166.55,168.95,167.3,CAMLINFINE
2021-05-18,173.0,174.5,170.75,172.75,172.6,CAMLINFINE
2021-05-17,176.0,176.0,170.0,171.5,171.25,CAMLINFINE
2021-05-14,166.55,173.5,162.5,167.0,165.25,CAMLINFINE
2021-05-12,168.0,169.65,163.5,167.25,165.05,CAMLINFINE
2021-05-11,172.5,175.75,166.6,168.0,168.6,CAMLINFINE
2021-05-10,176.3,177.8,171.5,174.8,174.1,CAMLINFINE
2021-05-07,166.95,175.0,164.1,173.5,173.75,CAMLINFINE
2021-05-06,167.3,169.9,161.1,164.25,165.2,CAMLINFINE
2021-05-05,168.5,169.7,163.4,165.0,164.85,CAMLINFINE
2021-05-04,170.0,177.3,163.1,166.5,166.25,CAMLINFINE
2021-05-03,152.65,169.0,150.9,169.0,166.55,CAMLINFINE
2021-04-30,154.1,159.0,153.0,154.3,153.95,CAMLINFINE
2021-04-29,156.65,161.15,152.25,157.05,157.05,CAMLINFINE
