DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-08-03,34.75,35.19,34.6,35.14,35.05,428.0,26.4,UTIBANKETF
2021-08-02,35.09,35.09,34.53,34.53,34.93,428.0,26.4,UTIBANKETF
2021-07-30,34.98,35.25,34.5,34.5,34.55,428.0,26.4,UTIBANKETF
2021-07-29,35.09,35.14,34.25,34.88,34.64,428.0,26.4,UTIBANKETF
2021-07-28,35.44,35.44,34.3,34.4,34.43,428.0,26.4,UTIBANKETF
2021-07-27,34.65,35.39,34.65,35.1,35.03,428.0,26.4,UTIBANKETF
2021-07-26,35.47,35.47,34.52,35.21,34.84,428.0,26.4,UTIBANKETF
2021-07-23,35.14,35.19,34.6,34.94,34.94,428.0,26.4,UTIBANKETF
2021-07-22,35.93,35.97,34.8,35.0,34.99,428.0,26.4,UTIBANKETF
2021-07-20,35.87,36.02,34.61,35.25,34.7,428.0,26.4,UTIBANKETF
2021-07-19,35.98,36.0,35.03,36.0,35.87,428.0,26.4,UTIBANKETF
2021-07-16,36.38,36.38,35.7,35.73,35.92,428.0,26.4,UTIBANKETF
2021-07-15,35.72,36.14,35.25,35.99,35.98,428.0,26.4,UTIBANKETF
2021-07-14,35.11,35.89,35.11,35.75,35.75,428.0,26.4,UTIBANKETF
2021-07-13,35.01,35.68,35.01,35.6,35.57,428.0,26.4,UTIBANKETF
2021-07-12,35.7,35.85,34.65,35.13,35.14,428.0,26.4,UTIBANKETF
2021-07-09,35.45,35.55,35.1,35.3,35.27,428.0,26.4,UTIBANKETF
2021-07-08,36.29,36.54,35.25,35.58,35.55,428.0,26.4,UTIBANKETF
2021-07-07,35.84,35.99,35.1,35.93,35.82,428.0,26.4,UTIBANKETF
2021-07-06,35.16,35.78,34.81,35.55,35.52,428.0,26.4,UTIBANKETF
2021-07-05,34.99,35.36,34.55,35.28,35.16,428.0,26.4,UTIBANKETF
2021-07-02,34.97,34.97,34.42,34.6,34.55,428.0,26.4,UTIBANKETF
2021-07-01,35.75,35.75,34.4,34.5,34.59,428.0,26.4,UTIBANKETF
2021-06-30,34.86,35.14,34.86,34.95,35.03,428.0,26.4,UTIBANKETF
2021-06-29,35.4,35.4,34.81,35.05,34.86,428.0,26.4,UTIBANKETF
2021-06-28,35.1,35.45,35.01,35.2,35.13,428.0,26.4,UTIBANKETF
2021-06-25,34.5,35.5,34.47,35.5,35.29,428.0,26.4,UTIBANKETF
2021-06-24,34.98,35.44,34.35,34.67,34.64,428.0,26.4,UTIBANKETF
2021-06-23,35.5,35.5,34.46,34.75,34.7,428.0,26.4,UTIBANKETF
2021-06-22,35.5,35.5,34.57,34.89,34.86,428.0,26.4,UTIBANKETF
2021-06-21,34.42,35.05,33.74,35.05,34.84,428.0,26.4,UTIBANKETF
2021-06-18,35.1,35.1,33.87,34.44,34.42,428.0,26.4,UTIBANKETF
2021-06-17,35.3,35.3,34.4,34.45,34.5,428.0,26.4,UTIBANKETF
2021-06-16,35.5,35.5,34.85,35.13,34.96,428.0,26.4,UTIBANKETF
2021-06-15,35.55,35.55,34.8,35.09,35.12,428.0,26.4,UTIBANKETF
2021-06-14,35.25,35.25,34.3,34.9,34.9,428.0,26.4,UTIBANKETF
2021-06-11,35.85,35.88,34.95,35.15,35.15,428.0,26.4,UTIBANKETF
2021-06-10,35.5,35.55,34.72,35.14,35.12,428.0,26.4,UTIBANKETF
2021-06-09,35.68,35.68,35.2,35.41,35.25,428.0,26.4,UTIBANKETF
2021-06-08,35.75,35.83,35.15,35.65,35.65,428.0,26.4,UTIBANKETF
2021-06-07,35.75,35.75,35.41,35.75,35.69,428.0,26.4,UTIBANKETF
2021-06-04,35.76,35.76,35.3,35.68,35.6,428.0,26.4,UTIBANKETF
2021-06-03,35.56,35.74,35.19,35.57,35.46,428.0,26.4,UTIBANKETF
2021-06-02,35.4,35.71,34.9,35.56,35.56,428.0,26.4,UTIBANKETF
2021-06-01,35.54,35.65,35.15,35.45,35.4,428.0,26.4,UTIBANKETF
2021-05-31,35.45,35.62,34.84,35.49,35.39,428.0,26.4,UTIBANKETF
2021-05-28,35.45,35.8,34.52,35.0,35.07,428.0,26.4,UTIBANKETF
2021-05-27,35.2,35.2,34.27,35.0,34.99,428.0,26.4,UTIBANKETF
2021-05-26,34.4,35.3,34.33,34.84,34.55,428.0,26.4,UTIBANKETF
2021-05-25,35.98,35.98,34.4,34.56,34.58,428.0,26.4,UTIBANKETF
2021-05-24,34.98,35.34,34.39,34.8,34.73,428.0,26.4,UTIBANKETF
2021-05-21,33.82,34.78,33.3,34.5,34.39,428.0,26.4,UTIBANKETF
2021-05-20,33.98,33.98,33.18,33.5,33.36,428.0,26.4,UTIBANKETF
2021-05-19,33.28,34.05,33.28,33.77,33.75,428.0,26.4,UTIBANKETF
2021-05-18,33.9,33.98,33.42,33.65,33.68,428.0,26.4,UTIBANKETF
2021-05-17,32.02,33.36,32.02,33.25,33.23,428.0,26.4,UTIBANKETF
2021-05-14,32.36,32.95,32.12,32.32,32.33,428.0,26.4,UTIBANKETF
2021-05-12,32.99,32.99,32.36,32.59,32.45,428.0,26.4,UTIBANKETF
2021-05-11,32.99,33.24,32.33,32.8,32.77,428.0,26.4,UTIBANKETF
2021-05-10,33.19,33.19,32.67,33.1,33.06,428.0,26.4,UTIBANKETF
2021-05-07,32.99,33.1,32.6,32.8,32.71,428.0,26.4,UTIBANKETF
2021-05-06,33.0,33.0,32.4,32.65,32.66,428.0,26.4,UTIBANKETF
2021-05-05,33.01,33.01,32.51,32.52,32.52,428.0,26.4,UTIBANKETF
2021-05-04,32.1,32.98,32.02,32.5,32.49,428.0,26.4,UTIBANKETF
2021-05-03,32.49,32.7,32.05,32.4,32.35,428.0,26.4,UTIBANKETF
2021-04-30,33.62,33.62,32.5,32.86,32.83,428.0,26.4,UTIBANKETF
2021-04-29,34.28,34.38,33.4,33.56,33.62,428.0,26.4,UTIBANKETF
2021-04-28,33.19,33.75,32.53,33.7,33.52,428.0,26.4,UTIBANKETF
2021-04-27,32.7,32.7,32.09,32.61,32.57,428.0,26.4,UTIBANKETF
2021-04-26,32.77,32.77,31.9,32.1,32.2,428.0,26.4,UTIBANKETF
2021-04-23,32.15,32.15,31.18,31.86,31.82,428.0,26.4,UTIBANKETF
2021-04-22,31.03,31.81,30.28,31.8,31.51,428.0,26.4,UTIBANKETF
2021-04-20,31.19,31.59,30.9,31.12,31.09,428.0,26.4,UTIBANKETF
2021-04-19,31.05,31.21,30.5,31.01,31.0,428.0,26.4,UTIBANKETF
2021-04-16,31.74,32.21,31.64,32.05,32.08,428.0,26.4,UTIBANKETF
2021-04-15,31.99,32.1,31.25,32.1,31.97,428.0,26.4,UTIBANKETF
2021-04-13,31.6,31.8,30.44,31.7,31.77,428.0,26.4,UTIBANKETF
2021-04-12,31.86,31.86,30.65,30.99,30.74,428.0,26.4,UTIBANKETF
2021-04-09,32.75,33.09,26.4,32.7,32.66,428.0,26.4,UTIBANKETF
2021-04-08,32.89,33.51,32.77,33.22,33.01,428.0,32.3,UTIBANKETF
2021-04-07,32.63,33.38,32.4,32.61,32.72,428.0,32.3,UTIBANKETF
2021-04-06,32.9,39.8,32.3,32.5,32.63,428.0,32.3,UTIBANKETF
2021-04-05,33.3,33.66,32.34,32.9,32.89,428.0,32.34,UTIBANKETF
2021-04-01,33.4,34.29,32.82,33.85,33.97,428.0,32.36,UTIBANKETF
2021-03-31,33.68,33.68,32.72,33.16,33.15,428.0,32.36,UTIBANKETF
2021-03-30,33.7,33.93,33.3,33.58,33.37,428.0,32.36,UTIBANKETF
2021-03-26,33.17,33.67,33.11,33.5,33.3,428.0,32.36,UTIBANKETF
2021-03-25,33.34,33.59,32.36,33.22,33.12,428.0,32.36,UTIBANKETF
2021-03-24,34.0,34.03,33.15,33.2,33.33,428.0,32.85,UTIBANKETF
2021-03-23,32.85,34.4,32.85,34.02,34.19,428.0,32.85,UTIBANKETF
2021-03-22,34.0,34.08,33.44,33.5,33.52,428.0,33.17,UTIBANKETF
2021-03-19,34.48,34.48,33.17,34.0,34.07,428.0,33.17,UTIBANKETF
2021-03-18,34.51,34.78,33.37,33.96,33.88,428.0,33.37,UTIBANKETF
2021-03-17,34.9,35.15,34.1,34.22,34.3,428.0,34.1,UTIBANKETF
2021-03-16,34.99,35.49,34.77,34.8,34.89,428.0,34.32,UTIBANKETF
2021-03-15,35.4,35.42,34.32,35.14,35.11,428.0,34.32,UTIBANKETF
2021-03-12,36.01,36.36,35.06,35.32,35.35,428.0,34.34,UTIBANKETF
2021-03-10,35.75,36.36,35.75,35.85,35.84,428.0,34.34,UTIBANKETF
2021-03-09,35.38,36.14,35.38,35.74,35.81,428.0,34.34,UTIBANKETF
2021-03-08,35.0,35.85,35.0,35.09,35.22,428.0,34.34,UTIBANKETF
2021-03-05,35.33,35.67,34.51,35.44,35.19,428.0,34.34,UTIBANKETF
2021-03-04,35.27,36.39,35.27,35.93,35.8,428.0,34.34,UTIBANKETF
2021-03-03,35.46,36.5,35.46,36.32,36.36,428.0,34.34,UTIBANKETF
2021-03-02,35.3,35.71,35.04,35.55,35.45,428.0,34.34,UTIBANKETF
2021-03-01,35.32,35.7,34.9,35.44,35.29,428.0,34.34,UTIBANKETF
2021-02-26,35.71,35.76,34.54,34.9,34.86,428.0,34.34,UTIBANKETF
2021-02-25,36.9,37.18,36.29,36.5,36.52,428.0,34.34,UTIBANKETF
2021-02-24,35.35,36.39,34.34,36.11,36.18,428.0,34.34,UTIBANKETF
2021-02-23,36.08,36.08,35.0,35.01,35.25,428.0,35.0,UTIBANKETF
2021-02-22,38.0,38.4,35.3,35.74,35.68,428.0,35.3,UTIBANKETF
2021-02-19,38.5,40.0,35.5,37.49,36.9,428.0,35.5,UTIBANKETF
2021-02-18,44.49,44.49,37.07,37.7,37.99,428.0,36.89,UTIBANKETF
2021-02-17,42.0,44.7,36.89,39.5,39.47,428.0,36.89,UTIBANKETF
2021-02-16,373.5,409.55,365.0,372.56,372.44,428.0,202.5,UTIBANKETF
2021-02-15,372.03,376.0,354.95,363.2,371.97,428.0,202.5,UTIBANKETF
2021-02-12,362.51,363.54,354.46,361.6,361.2,428.0,202.5,UTIBANKETF
2021-02-11,370.68,370.68,356.87,359.14,357.86,428.0,202.5,UTIBANKETF
2021-02-10,428.0,428.0,355.3,360.72,359.89,428.0,202.5,UTIBANKETF
2021-02-09,370.2,370.2,355.77,359.52,360.93,412.8,202.5,UTIBANKETF
2021-02-08,366.78,412.8,347.6,364.0,359.42,412.8,202.5,UTIBANKETF
2021-02-05,357.01,393.94,343.6,355.56,356.1,393.94,202.5,UTIBANKETF
2021-02-04,358.85,380.69,342.32,353.03,352.26,380.69,202.5,UTIBANKETF
2021-02-03,334.0,351.0,331.6,346.05,348.4,351.0,202.5,UTIBANKETF
2021-02-02,333.89,350.0,333.89,343.0,341.45,350.0,202.5,UTIBANKETF
2021-02-01,314.45,333.0,307.62,333.0,331.19,335.7,202.5,UTIBANKETF
2021-01-29,305.23,312.0,303.65,307.72,305.3,335.7,202.5,UTIBANKETF
2021-01-28,302.19,304.57,296.25,304.57,303.24,335.7,202.5,UTIBANKETF
2021-01-27,312.14,313.47,301.37,304.56,304.26,335.7,202.5,UTIBANKETF
2021-01-25,303.6,317.77,303.6,312.52,311.77,335.7,202.5,UTIBANKETF
2021-01-22,322.39,322.39,310.51,310.51,310.55,335.7,202.5,UTIBANKETF
2021-01-21,329.2,329.2,319.49,322.38,321.54,335.7,202.5,UTIBANKETF
2021-01-20,315.6,326.95,315.6,324.16,324.35,335.7,202.5,UTIBANKETF
2021-01-19,322.93,325.7,319.0,325.22,324.46,335.7,202.5,UTIBANKETF
2021-01-18,324.1,325.57,317.99,318.0,318.06,335.7,202.5,UTIBANKETF
2021-01-15,335.7,335.7,320.12,323.38,322.58,335.7,202.5,UTIBANKETF
2021-01-14,329.68,329.68,325.01,325.01,325.93,335.31,202.5,UTIBANKETF
2021-01-13,320.1,335.31,312.78,325.02,325.1,335.31,202.5,UTIBANKETF
2021-01-12,320.1,324.65,319.48,322.41,322.45,324.66,202.5,UTIBANKETF
2021-01-11,323.47,323.52,317.89,320.0,320.68,324.66,202.5,UTIBANKETF
2021-01-08,324.66,324.66,319.1,321.69,321.69,324.66,202.5,UTIBANKETF
2021-01-07,318.69,322.0,318.69,322.0,321.1,323.51,202.5,UTIBANKETF
2021-01-06,320.42,320.42,315.55,317.06,317.06,323.51,202.5,UTIBANKETF
2021-01-05,310.95,318.37,308.3,316.28,316.44,323.51,202.5,UTIBANKETF
2021-01-04,316.89,317.12,308.95,313.56,311.85,323.51,202.5,UTIBANKETF
2021-01-01,313.0,314.15,311.85,313.39,313.39,323.51,202.5,UTIBANKETF
2020-12-31,312.15,313.98,311.52,311.52,311.52,323.51,202.5,UTIBANKETF
2020-12-30,317.3,317.3,310.0,311.64,312.93,323.51,202.5,UTIBANKETF
2020-12-29,309.64,314.03,309.64,313.99,312.58,323.51,202.5,UTIBANKETF
2020-12-28,314.09,323.51,306.0,307.91,309.49,323.51,202.5,UTIBANKETF
2020-12-24,299.25,305.52,299.25,304.6,304.95,320.96,202.5,UTIBANKETF
2020-12-23,296.85,299.6,294.95,299.6,298.53,320.96,202.5,UTIBANKETF
2020-12-22,298.67,298.67,289.25,296.76,296.99,320.96,202.5,UTIBANKETF
2020-12-21,306.8,306.8,292.72,292.72,295.11,320.96,202.5,UTIBANKETF
2020-12-18,317.87,320.96,304.02,307.75,308.17,320.96,202.5,UTIBANKETF
2020-12-17,307.95,310.31,306.68,308.62,308.62,310.31,202.5,UTIBANKETF
