DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-26,338.0,347.1,336.0,342.0,340.25,397.7,205.35,EIHAHOTELS
2021-07-23,333.8,335.45,327.85,333.95,331.6,397.7,205.35,EIHAHOTELS
2021-07-22,321.05,335.7,321.0,330.05,332.2,397.7,205.35,EIHAHOTELS
2021-07-20,339.25,339.25,313.0,319.7,320.55,397.7,205.35,EIHAHOTELS
2021-07-19,348.0,350.0,332.5,337.0,337.35,397.7,205.35,EIHAHOTELS
2021-07-16,351.0,354.0,344.7,353.3,350.45,397.7,205.35,EIHAHOTELS
2021-07-15,353.0,363.0,350.0,352.4,351.0,397.7,205.35,EIHAHOTELS
2021-07-14,354.05,357.9,351.95,353.75,353.9,397.7,205.35,EIHAHOTELS
2021-07-13,359.25,359.3,351.45,353.1,354.05,397.7,205.35,EIHAHOTELS
2021-07-12,355.2,364.0,355.0,355.1,356.05,397.7,205.35,EIHAHOTELS
2021-07-09,360.0,364.0,352.5,358.15,359.2,397.7,205.35,EIHAHOTELS
2021-07-08,365.85,373.1,355.0,359.8,358.4,397.7,205.35,EIHAHOTELS
2021-07-07,363.5,376.0,360.0,364.75,365.85,397.7,205.35,EIHAHOTELS
2021-07-06,358.95,377.0,356.25,361.0,361.55,397.7,205.35,EIHAHOTELS
2021-07-05,350.65,362.5,350.6,357.9,356.4,397.7,205.35,EIHAHOTELS
2021-07-02,353.5,355.0,351.2,353.0,352.9,397.7,205.35,EIHAHOTELS
2021-07-01,354.8,354.85,349.25,353.9,352.05,397.7,205.35,EIHAHOTELS
2021-06-30,358.0,358.0,350.8,355.7,352.8,397.7,205.35,EIHAHOTELS
2021-06-29,358.0,363.0,350.7,353.0,352.05,397.7,205.35,EIHAHOTELS
2021-06-28,363.95,363.95,350.25,354.9,353.1,397.7,205.35,EIHAHOTELS
2021-06-25,345.55,396.7,343.55,356.5,357.7,397.7,205.35,EIHAHOTELS
