DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-30,246.0,252.95,241.1,247.0,246.55,318.6,190.1,EPL
2021-07-29,233.55,243.75,233.55,243.75,241.1,318.6,190.1,EPL
2021-07-28,236.05,245.0,232.55,234.0,233.55,318.6,190.1,EPL
2021-07-27,241.2,243.5,232.55,235.15,236.05,318.6,190.1,EPL
2021-07-26,245.9,248.35,241.75,242.3,242.9,318.6,190.1,EPL
2021-07-23,254.0,254.0,244.4,245.0,244.9,318.6,185.0,EPL
2021-07-22,244.25,253.0,240.25,250.0,250.7,318.6,185.0,EPL
2021-07-20,247.9,248.0,236.2,239.0,237.85,318.6,185.0,EPL
2021-07-19,246.0,255.95,244.0,245.75,246.65,318.6,185.0,EPL
2021-07-16,259.95,259.95,246.05,246.45,246.9,318.6,183.55,EPL
2021-07-15,260.1,261.95,254.75,257.4,256.25,318.6,183.55,EPL
2021-07-14,263.0,265.9,259.1,260.0,259.95,318.6,183.55,EPL
2021-07-13,268.95,268.95,260.0,262.0,263.0,318.6,183.55,EPL
2021-07-12,267.6,273.6,262.6,266.9,265.3,318.6,183.55,EPL
2021-07-09,268.0,269.2,264.05,266.5,266.25,318.6,180.55,EPL
2021-07-08,274.05,275.95,268.0,270.0,270.25,318.6,180.55,EPL
2021-07-07,279.35,279.35,274.55,275.0,275.15,318.6,180.55,EPL
2021-07-06,280.0,281.85,275.0,277.95,278.45,318.6,180.55,EPL
2021-07-05,291.0,291.0,278.3,280.0,279.85,318.6,180.55,EPL
2021-07-02,279.5,281.0,270.95,280.9,277.9,318.6,174.1,EPL
2021-07-01,282.3,284.05,276.0,279.5,278.95,318.6,174.1,EPL
2021-06-30,284.1,284.1,277.25,278.6,280.0,318.6,174.1,EPL
2021-06-29,278.85,281.25,270.0,281.0,280.4,318.6,174.1,EPL
2021-06-28,280.45,284.65,274.05,278.8,277.45,318.6,174.1,EPL
2021-06-25,279.45,284.25,279.15,280.45,280.65,318.6,174.1,EPL
2021-06-24,281.3,284.05,278.3,279.1,279.05,318.6,174.1,EPL
2021-06-23,289.0,291.95,278.6,280.0,279.45,318.6,174.1,EPL
2021-06-22,282.0,291.9,280.0,286.5,286.2,318.6,174.1,EPL
2021-06-21,275.3,280.5,273.5,279.05,278.8,318.6,174.1,EPL
2021-06-18,269.85,283.65,267.15,278.2,278.85,318.6,169.05,EPL
2021-06-17,259.3,267.0,258.4,265.0,265.2,318.6,169.05,EPL
2021-06-16,255.9,262.5,255.05,260.95,260.25,318.6,169.05,EPL
2021-06-15,254.45,261.4,253.0,255.0,254.55,318.6,169.05,EPL
2021-06-14,253.4,261.55,249.55,254.15,252.7,318.6,169.05,EPL
2021-06-11,255.0,262.0,251.0,253.9,253.35,318.6,169.05,EPL
2021-06-10,252.5,258.0,250.2,255.0,254.85,318.6,169.05,EPL
2021-06-09,254.35,256.0,248.25,252.0,251.15,318.6,169.05,EPL
2021-06-08,258.0,258.0,248.15,253.0,252.5,318.6,169.05,EPL
2021-06-07,254.0,258.0,252.0,254.1,253.35,318.6,169.05,EPL
2021-06-04,246.55,249.65,236.0,246.0,246.55,318.6,158.0,EPL
2021-06-03,249.0,253.0,248.0,250.95,250.4,318.6,158.0,EPL
2021-06-02,244.85,249.8,243.0,249.0,248.35,318.6,158.0,EPL
2021-06-01,238.0,242.7,234.05,242.4,240.6,318.6,158.0,EPL
2021-05-31,229.0,229.9,226.05,229.85,228.1,318.6,158.0,EPL
2021-05-28,227.05,231.0,226.2,228.05,227.05,318.6,158.0,EPL
2021-05-27,232.55,236.05,225.25,228.1,227.95,318.6,158.0,EPL
2021-05-26,242.05,242.1,232.0,232.75,232.5,318.6,158.0,EPL
2021-05-25,253.9,253.9,237.0,238.8,238.5,318.6,158.0,EPL
2021-05-24,248.0,254.0,239.85,241.5,242.75,318.6,158.0,EPL
2021-05-21,245.0,254.5,240.0,245.4,245.7,318.6,158.0,EPL
2021-05-20,248.55,255.0,247.4,248.5,248.9,318.6,158.0,EPL
2021-05-19,243.3,249.75,242.7,248.5,248.1,318.6,158.0,EPL
2021-05-18,244.8,246.4,241.55,242.1,242.75,318.6,158.0,EPL
2021-05-17,234.4,243.25,231.4,241.8,242.0,318.6,158.0,EPL
2021-05-14,241.75,244.5,228.1,231.0,232.3,318.6,158.0,EPL
2021-05-12,238.2,244.65,236.5,239.25,239.9,318.6,158.0,EPL
2021-05-11,238.0,248.7,235.0,235.0,236.45,318.6,158.0,EPL
2021-05-10,235.0,239.9,234.3,239.2,238.0,318.6,158.0,EPL
2021-05-07,226.25,234.6,224.95,232.5,233.2,318.6,158.0,EPL
2021-05-06,228.0,229.2,223.4,225.0,225.0,318.6,158.0,EPL
2021-05-05,223.85,229.5,221.7,226.7,227.4,318.6,158.0,EPL
2021-05-04,220.1,224.8,217.05,223.3,222.2,318.6,158.0,EPL
2021-05-03,222.05,227.65,218.95,219.8,219.7,318.6,158.0,EPL
2021-04-30,226.85,229.9,223.8,223.9,224.65,318.6,158.0,EPL
2021-04-29,229.9,231.8,221.95,227.85,227.55,318.6,158.0,EPL
2021-04-28,219.6,233.4,219.6,228.0,226.5,318.6,158.0,EPL
2021-04-27,218.1,221.5,217.55,219.3,219.25,318.6,158.0,EPL
2021-04-26,221.0,223.2,216.0,218.15,217.2,318.6,158.0,EPL
2021-04-23,222.75,224.95,213.6,221.4,219.25,318.6,158.0,EPL
2021-04-22,210.8,224.0,210.1,222.75,222.45,318.6,158.0,EPL
2021-04-20,211.95,211.95,208.5,210.9,210.05,318.6,158.0,EPL
2021-04-19,205.0,210.05,202.0,209.8,208.85,318.6,158.0,EPL
2021-04-16,212.4,212.9,207.0,207.9,208.8,318.6,158.0,EPL
2021-04-15,212.05,217.0,206.9,210.0,209.85,318.6,158.0,EPL
2021-04-13,212.75,216.25,211.2,214.0,213.8,318.6,158.0,EPL
2021-04-12,223.0,223.7,209.95,215.75,212.6,318.6,158.0,EPL
2021-04-09,223.15,227.0,222.0,223.75,224.55,318.6,150.55,EPL
2021-04-08,229.7,229.7,222.45,224.6,223.15,318.6,150.55,EPL
2021-04-07,225.4,231.0,224.5,225.0,224.95,318.6,150.55,EPL
2021-04-06,226.0,234.6,225.15,226.5,227.5,318.6,150.55,EPL
2021-04-05,238.7,238.7,224.35,224.85,225.05,318.6,150.55,EPL
2021-04-01,236.0,243.85,233.0,238.0,235.15,318.6,138.8,EPL
2021-03-31,230.55,238.55,227.35,238.1,236.2,318.6,138.8,EPL
2021-03-30,227.95,232.0,224.15,231.5,230.75,318.6,138.8,EPL
2021-03-26,220.5,224.4,217.5,223.9,222.5,318.6,130.05,EPL
2021-03-25,219.5,223.1,213.65,217.2,218.2,318.6,130.05,EPL
2021-03-24,218.0,221.9,215.2,219.45,219.25,318.6,130.05,EPL
2021-03-23,214.3,221.8,212.35,220.0,217.55,318.6,130.05,EPL
2021-03-22,211.0,214.95,210.1,213.9,213.7,318.6,130.05,EPL
2021-03-19,215.0,216.2,207.0,209.0,211.05,318.6,130.05,EPL
2021-03-18,229.8,230.0,216.25,218.6,217.4,318.6,130.05,EPL
2021-03-17,230.8,230.8,225.4,228.1,227.8,318.6,130.05,EPL
2021-03-16,229.05,234.0,226.6,230.0,230.75,318.6,130.05,EPL
2021-03-15,229.9,232.6,224.35,228.0,227.8,318.6,130.05,EPL
2021-03-12,221.0,229.95,219.4,228.0,227.1,318.6,130.05,EPL
2021-03-10,219.3,222.8,218.0,218.1,218.9,318.6,130.05,EPL
2021-03-09,221.0,224.5,218.35,220.0,219.3,318.6,130.05,EPL
2021-03-08,222.9,224.6,217.6,219.35,218.6,318.6,130.05,EPL
