DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,88.7,89.23,87.85,89.0,88.64,AXISHCETF
2021-07-15,88.05,88.9,88.0,88.64,88.35,AXISHCETF
2021-07-14,89.95,89.95,88.05,88.49,88.28,AXISHCETF
2021-07-13,89.0,89.49,88.27,88.7,88.68,AXISHCETF
2021-07-12,86.0,89.25,86.0,88.3,88.2,AXISHCETF
2021-07-09,88.31,88.35,87.6,88.24,87.87,AXISHCETF
2021-07-08,88.6,89.49,88.2,88.3,88.28,AXISHCETF
2021-07-07,89.5,91.0,88.5,88.9,88.76,AXISHCETF
2021-07-06,89.49,89.49,88.8,89.3,89.1,AXISHCETF
2021-07-05,88.4,91.1,88.4,88.93,88.93,AXISHCETF
2021-07-02,88.4,88.8,87.65,88.11,88.1,AXISHCETF
2021-07-01,87.8,88.4,87.6,87.8,87.86,AXISHCETF
2021-06-30,86.77,88.99,86.77,87.99,87.82,AXISHCETF
2021-06-29,87.5,87.5,86.81,87.39,87.37,AXISHCETF
2021-06-28,86.14,86.98,85.25,86.9,86.91,AXISHCETF
2021-06-25,86.9,86.9,85.1,86.35,86.14,AXISHCETF
2021-06-24,86.95,86.95,85.71,85.9,85.94,AXISHCETF
2021-06-23,86.72,87.49,85.51,85.98,85.7,AXISHCETF
2021-06-22,87.5,87.5,86.4,87.09,86.76,AXISHCETF
2021-06-21,87.49,87.75,86.15,87.69,87.04,AXISHCETF
2021-06-18,87.0,87.74,86.15,87.12,87.49,AXISHCETF
2021-06-17,86.97,88.4,86.5,86.8,86.79,AXISHCETF
2021-06-16,87.9,88.5,87.11,87.65,87.67,AXISHCETF
2021-06-15,87.8,88.5,87.05,87.5,87.56,AXISHCETF
2021-06-14,87.2,90.0,86.53,87.1,87.08,AXISHCETF
2021-06-11,86.9,88.2,86.3,88.0,88.07,AXISHCETF
2021-06-10,86.6,87.9,86.1,87.0,86.89,AXISHCETF
2021-06-09,85.9,87.0,85.45,86.75,86.61,AXISHCETF
2021-06-08,85.79,85.79,85.2,85.51,85.55,AXISHCETF
2021-06-07,85.9,87.99,84.95,85.36,85.48,AXISHCETF
2021-06-04,85.7,89.7,85.0,85.29,85.06,AXISHCETF
2021-06-03,84.5,86.5,84.5,86.0,85.73,AXISHCETF
2021-06-02,84.65,85.25,84.05,84.75,84.57,AXISHCETF
2021-06-01,84.74,84.74,83.9,83.95,84.03,AXISHCETF
2021-05-31,84.5,85.0,82.53,84.2,84.17,AXISHCETF
2021-05-28,85.48,85.48,84.0,84.2,84.11,AXISHCETF
2021-05-27,86.0,86.0,84.1,84.79,84.76,AXISHCETF
2021-05-26,85.99,85.99,83.05,85.25,85.2,AXISHCETF
2021-05-25,88.23,88.23,84.1,84.5,84.56,AXISHCETF
2021-05-24,86.0,87.5,84.4,85.3,85.23,AXISHCETF
2021-05-21,100.0,100.0,83.9,84.0,84.37,AXISHCETF
