DATE,OPEN,HIGH,LOW,LTP,CLOSE,SYMBOL
2021-07-16,242.5,246.35,240.3,240.8,242.1,UJJIVAN
2021-07-15,237.25,245.4,235.6,240.2,241.75,UJJIVAN
2021-07-14,241.7,243.45,235.0,237.0,237.25,UJJIVAN
2021-07-13,246.75,261.7,241.6,244.0,243.7,UJJIVAN
2021-07-12,244.8,244.8,244.8,244.8,244.8,UJJIVAN
2021-07-09,203.5,208.0,202.15,203.5,204.0,UJJIVAN
2021-07-08,205.0,211.5,202.5,203.0,203.4,UJJIVAN
2021-07-07,197.0,208.35,196.2,205.9,206.05,UJJIVAN
2021-07-06,200.7,201.65,195.7,196.4,197.35,UJJIVAN
2021-07-05,202.4,203.35,200.0,200.2,200.35,UJJIVAN
2021-07-02,207.45,207.45,200.0,201.7,201.45,UJJIVAN
2021-07-01,206.3,208.65,205.0,205.3,205.7,UJJIVAN
2021-06-30,208.5,209.0,205.5,205.8,206.3,UJJIVAN
2021-06-29,211.5,211.5,207.2,208.4,207.85,UJJIVAN
2021-06-28,212.4,212.4,206.55,208.6,209.4,UJJIVAN
2021-06-25,210.5,210.95,207.9,208.5,208.55,UJJIVAN
2021-06-24,210.45,212.0,208.1,209.1,209.1,UJJIVAN
2021-06-23,210.8,212.0,208.55,209.4,209.05,UJJIVAN
2021-06-22,210.7,216.55,207.1,208.8,209.2,UJJIVAN
2021-06-21,200.55,210.5,200.0,207.55,207.85,UJJIVAN
2021-06-18,214.0,214.9,206.0,210.8,210.5,UJJIVAN
2021-06-17,212.8,216.4,212.25,212.85,213.0,UJJIVAN
2021-06-16,218.3,219.6,214.15,214.4,214.75,UJJIVAN
2021-06-15,219.95,223.5,216.3,217.8,217.05,UJJIVAN
2021-06-14,224.5,224.5,214.0,218.6,218.55,UJJIVAN
2021-06-11,228.0,234.7,221.5,223.0,222.75,UJJIVAN
2021-06-10,214.7,226.55,213.0,226.55,224.95,UJJIVAN
2021-06-09,216.4,219.0,212.0,213.0,212.85,UJJIVAN
