DATE,OPEN,HIGH,LOW,LTP,CLOSE,52W H,52W L,SYMBOL
2021-07-27,286.0,289.85,275.4,276.45,277.4,313.7,127.75,IBULHSGFIN
2021-07-26,284.0,297.8,283.0,283.95,285.15,313.7,127.75,IBULHSGFIN
2021-07-23,277.0,285.0,272.2,284.5,283.65,313.7,127.75,IBULHSGFIN
2021-07-22,273.0,279.0,272.0,275.35,275.2,313.7,127.75,IBULHSGFIN
2021-07-20,270.85,276.9,264.05,264.6,265.95,313.7,127.75,IBULHSGFIN
2021-07-19,273.0,278.8,268.5,270.05,270.85,313.7,127.75,IBULHSGFIN
2021-07-16,266.2,277.0,266.2,275.55,275.55,313.7,127.75,IBULHSGFIN
2021-07-15,271.1,272.0,265.05,265.8,266.1,313.7,127.75,IBULHSGFIN
2021-07-14,281.0,284.85,269.25,270.2,270.45,313.7,127.75,IBULHSGFIN
2021-07-13,273.0,281.0,269.05,278.95,279.25,313.7,127.75,IBULHSGFIN
2021-07-12,271.9,275.0,267.0,271.4,270.85,313.7,127.75,IBULHSGFIN
2021-07-09,260.65,271.6,260.4,270.9,269.45,313.7,127.75,IBULHSGFIN
2021-07-08,262.95,266.65,260.4,261.4,261.65,313.7,127.75,IBULHSGFIN
2021-07-07,264.2,265.65,258.45,263.95,262.95,313.7,127.75,IBULHSGFIN
2021-07-06,271.45,271.95,261.0,261.5,262.25,313.7,127.75,IBULHSGFIN
2021-07-05,262.0,276.7,260.15,271.8,272.4,313.7,127.75,IBULHSGFIN
2021-07-02,261.5,266.05,259.15,259.6,260.0,313.7,127.75,IBULHSGFIN
2021-07-01,261.05,263.4,259.0,260.2,260.05,313.7,127.75,IBULHSGFIN
2021-06-30,266.5,266.6,259.85,260.3,261.05,313.7,127.75,IBULHSGFIN
2021-06-29,270.0,270.9,262.0,263.7,264.0,313.7,127.75,IBULHSGFIN
2021-06-28,273.0,278.0,266.7,268.9,268.15,313.7,127.75,IBULHSGFIN
2021-06-25,267.6,276.4,263.6,272.55,271.4,313.7,127.75,IBULHSGFIN
2021-06-24,270.5,272.5,263.0,265.5,264.45,313.7,127.75,IBULHSGFIN
2021-06-23,279.0,279.0,266.55,269.0,268.15,313.7,127.75,IBULHSGFIN
2021-06-22,280.0,288.8,273.65,274.25,275.55,313.7,127.75,IBULHSGFIN
2021-06-21,271.5,283.6,268.8,276.15,276.9,313.7,127.75,IBULHSGFIN
2021-06-18,286.95,288.8,268.35,280.55,278.9,313.7,127.75,IBULHSGFIN
2021-06-17,294.0,301.5,281.2,283.0,283.7,313.7,127.75,IBULHSGFIN
2021-06-16,312.5,313.7,292.45,296.4,298.8,313.7,127.75,IBULHSGFIN
2021-06-15,301.2,312.45,300.1,309.4,308.5,312.45,127.75,IBULHSGFIN
2021-06-14,288.0,304.0,282.65,297.25,298.5,304.0,127.75,IBULHSGFIN
2021-06-11,279.6,294.8,278.0,287.55,287.35,296.8,127.75,IBULHSGFIN
2021-06-10,265.9,296.8,264.2,279.6,285.4,296.8,127.75,IBULHSGFIN
2021-06-09,253.5,275.5,253.5,263.55,262.15,275.5,127.75,IBULHSGFIN
2021-06-08,249.2,256.8,246.05,252.5,251.9,272.75,127.75,IBULHSGFIN
2021-06-07,263.5,263.7,246.4,247.0,247.8,272.75,127.75,IBULHSGFIN
2021-06-04,229.9,272.75,227.75,263.15,261.35,272.75,124.0,IBULHSGFIN
2021-06-03,229.2,235.6,228.1,228.8,228.8,263.25,124.0,IBULHSGFIN
2021-06-02,223.0,227.9,221.5,226.8,226.95,263.25,124.0,IBULHSGFIN
2021-06-01,223.2,230.3,219.6,221.9,221.7,263.25,124.0,IBULHSGFIN
2021-05-31,223.2,232.7,220.0,223.05,223.95,263.25,124.0,IBULHSGFIN
2021-05-28,219.95,229.9,217.6,223.2,223.55,263.25,113.8,IBULHSGFIN
2021-05-27,225.6,226.45,221.7,225.0,225.65,263.25,113.8,IBULHSGFIN
2021-05-26,215.15,227.0,215.05,224.5,224.6,263.25,113.8,IBULHSGFIN
2021-05-25,219.45,219.95,213.85,215.05,214.9,263.25,113.8,IBULHSGFIN
2021-05-24,217.8,222.0,215.65,216.9,217.25,263.25,113.8,IBULHSGFIN
2021-05-21,214.0,221.8,212.1,215.65,215.5,263.25,113.8,IBULHSGFIN
2021-05-20,197.45,216.45,192.5,210.9,209.25,263.25,113.8,IBULHSGFIN
2021-05-19,192.65,194.8,190.55,192.95,193.25,263.25,113.8,IBULHSGFIN
2021-05-18,189.4,194.7,189.0,192.25,191.85,263.25,113.8,IBULHSGFIN
2021-05-17,185.35,188.65,184.35,187.4,187.7,263.25,113.8,IBULHSGFIN
2021-05-14,190.0,190.55,182.1,183.9,183.8,263.25,112.7,IBULHSGFIN
2021-05-12,186.5,192.95,184.5,187.9,187.7,263.25,112.7,IBULHSGFIN
2021-05-11,183.5,189.6,182.2,184.7,184.9,263.25,112.7,IBULHSGFIN
2021-05-10,181.25,188.1,179.8,186.9,186.8,263.25,112.7,IBULHSGFIN
2021-05-07,178.2,181.95,177.5,179.4,179.8,263.25,112.7,IBULHSGFIN
2021-05-06,181.2,181.4,174.65,176.5,176.6,263.25,112.7,IBULHSGFIN
2021-05-05,180.0,181.3,177.3,180.2,179.55,263.25,112.7,IBULHSGFIN
2021-05-04,180.0,187.3,176.85,178.0,178.0,263.25,112.7,IBULHSGFIN
2021-05-03,178.9,180.35,176.0,178.0,178.1,263.25,112.7,IBULHSGFIN
2021-04-30,178.0,186.2,177.2,181.2,181.05,263.25,112.7,IBULHSGFIN
